class,line
87,134
87,137
87,140
87,141
87,144
87,151
142,168
142,203
142,205
142,215
168,33
86,983
41,164
41,166
41,167
41,170
131,496
131,497
131,498
131,499
131,500
131,501
131,502
131,503
131,504
131,507
131,509
131,511
131,513
131,517
267,313
252,108
263,274
263,275
87,138
204,194
204,196
204,197
204,203
184,485
184,486
184,487
184,488
184,489
184,490
184,491
184,493
184,494
184,495
145,376
145,377
145,380
293,39
293,40
293,41
293,43
293,44
293,45
293,49
293,54
293,59
293,60
293,61
293,71
293,76
293,77
293,78
293,82
293,83
1,508
1,751
1,752
162,369
76,228
76,231
282,552
282,553
257,125
257,126
131,261
131,264
131,266
282,608
276,177
282,143
282,253
8,86
8,87
35,784
35,787
294,39
294,40
294,41
294,43
294,44
294,45
294,49
294,54
294,71
294,76
294,77
294,78
294,82
294,83
285,38
285,39
285,40
285,42
285,43
285,44
285,48
285,53
285,64
285,65
285,66
285,70
285,75
285,76
285,77
285,81
285,82
113,126
113,127
283,2278
283,2311
283,2317
182,174
182,827
182,888
182,889
182,890
182,891
182,892
182,893
182,896
182,897
182,904
182,908
182,919
182,920
182,921
182,922
182,923
182,924
182,926
182,927
182,935
182,936
182,937
1,104
1,105
1,108
1,109
1,110
1,111
1,112
1,115
1,117
1,121
1,122
1,123
1,124
1,125
1,126
1,127
1,134
1,137
1,139
1,140
1,149
1,158
1,199
1,212
1,223
1,364
1,367
1,380
1,381
1,382
1,384
1,386
1,388
1,390
1,392
1,395
1,475
1,476
1,477
1,493
1,495
1,515
1,554
1,677
1,688
1,698
1,699
1,700
1,701
1,704
1,705
1,736
1,737
1,744
162,361
162,363
162,364
162,365
162,383
162,384
32,432
32,434
32,437
32,445
32,446
32,449
32,450
148,339
148,340
148,341
148,355
20,210
20,211
20,214
195,880
195,881
195,884
195,885
190,2550
190,2551
190,2552
190,2553
190,2555
190,2560
190,2561
190,2564
115,470
115,471
115,488
51,163
190,1771
35,1034
190,1550
113,354
113,355
32,1314
32,1315
32,1318
115,1911
115,1912
115,1914
115,1916
115,1917
115,1964
115,1965
115,1966
115,1967
258,709
258,712
243,221
267,894
35,781
35,782
35,783
35,788
35,791
211,141
211,142
258,707
243,204
243,205
243,206
243,207
243,208
243,209
235,214
235,215
235,97
235,98
235,110
267,291
