class,line
184,485
184,486
184,487
184,488
184,489
184,490
184,491
184,493
184,494
184,495
145,376
145,377
145,380
293,39
293,40
293,41
293,43
293,44
293,45
293,49
293,54
293,59
293,60
293,61
293,71
293,76
293,77
293,78
293,82
293,83
1,508
1,751
1,752
162,369
76,228
76,231
282,552
282,553
257,125
257,126
282,608
276,177
282,143
282,253
8,86
8,87
23,119
23,120
91,258
91,259
91,260
167,133
167,134
167,137
167,155
167,156
95,209
95,210
95,213
95,214
95,215
95,216
95,217
95,222
95,223
233,210
188,155
188,156
35,784
35,787
