class,line
87,138
142,168
168,33
41,164
41,166
41,167
41,170
204,194
204,196
204,197
204,203
131,496
131,497
131,498
131,499
131,500
131,501
131,502
131,503
131,504
131,507
131,509
131,511
131,513
131,517
184,485
184,486
184,487
184,488
184,489
184,490
184,491
184,493
184,494
184,495
145,376
145,377
145,380
293,39
293,40
293,41
293,43
293,44
293,45
293,49
293,54
293,59
293,60
293,61
293,71
293,76
293,77
293,78
293,82
293,83
1,508
1,751
1,752
162,369
76,228
76,231
282,552
282,553
257,125
257,126
131,261
131,264
131,266
282,608
276,177
282,143
282,253
8,86
8,87
35,784
35,787
