class,line
51,133
51,161
51,162
51,163
43,355
190,938
190,940
190,941
190,1705
190,1742
190,1761
190,1762
190,1764
190,1766
190,1768
190,1769
190,1771
190,1773
190,1774
190,1777
35,814
35,1001
35,1002
35,1007
35,1008
35,1009
35,1010
35,1011
35,1014
35,1028
35,1029
35,1030
35,1031
35,1032
35,1033
35,1036
35,1039
24,229
24,231
24,233
190,1974
190,1975
138,18
138,19
138,20
16,188
16,189
51,263
51,295
51,297
51,301
51,304
51,305
51,306
51,307
51,309
43,227
43,230
43,231
43,232
43,233
43,390
43,404
24,535
24,541
190,1897
190,1900
190,1901
190,1904
190,1905
190,1907
190,1908
190,2002
190,2003
190,2005
190,2010
190,2011
190,2016
190,2017
190,2019
190,2020
190,2023
190,2026
190,2034
190,2036
190,2040
190,2041
190,2042
190,2043
190,2044
190,2047
190,2048
190,2052
190,2053
190,2054
190,2055
190,2059
190,2060
190,2061
190,2063
190,2065
190,2066
190,2067
190,2068
190,2069
190,2070
190,2071
190,2072
190,2073
190,2076
190,2077
190,2079
190,2080
190,2081
190,2082
190,2083
190,2086
190,2090
190,2094
190,2095
190,2096
190,2097
190,2101
190,2102
190,2104
190,2105
190,2106
190,2107
190,2111
190,2112
190,2113
190,2115
190,2116
190,2118
190,2119
190,2120
190,2122
190,2123
190,2127
190,2128
190,2129
190,2130
190,2131
190,2133
190,2134
190,2136
190,2137
190,2140
190,2141
190,2147
190,2148
190,2149
190,2150
190,2155
190,2156
190,2158
190,2161
190,2163
190,2165
190,2167
190,2170
190,2172
190,2175
190,2176
190,2177
190,2178
190,2179
190,2196
190,2199
190,2200
190,2202
190,2204
190,2205
190,2206
190,2207
190,2208
190,2209
190,2210
190,2211
190,2214
190,2215
190,2219
190,2220
190,2221
190,2222
190,2223
190,2224
190,2225
190,2227
190,2229
190,2230
190,2231
190,2232
190,2233
190,2260
190,2261
190,2262
190,2263
190,2288
190,2289
190,2295
190,2297
190,2299
190,2339
190,3209
190,3211
190,3212
190,3215
190,3217
190,3218
24,234
24,235
24,237
115,470
115,471
115,488
35,781
35,782
35,783
35,788
35,791
24,204
24,205
190,3213
35,789
285,38
285,39
285,40
285,42
285,43
285,44
285,48
285,53
285,58
285,59
285,60
285,70
285,75
285,76
285,77
285,81
285,82
113,354
113,355
36,1239
36,1240
36,1241
36,1243
283,2248
283,2268
283,2311
1,128
1,129
1,135
1,149
1,158
1,364
1,367
1,380
1,381
1,382
1,384
1,386
1,388
1,390
1,392
1,395
1,554
1,717
1,718
1,725
91,269
91,270
91,271
91,274
91,276
162,361
162,363
162,364
162,367
162,368
162,371
162,383
162,384
32,2082
32,2088
32,2089
32,2090
32,2091
32,2094
190,3241
190,3242
190,3243
190,3304
190,3306
190,3311
190,3313
