class,line
298,21
298,25
298,30
298,47
21,48
24,116
24,119
24,120
24,123
24,124
24,126
24,127
24,134
24,137
24,139
24,140
24,141
24,142
24,144
24,148
24,151
24,152
24,153
24,156
24,159
24,160
24,161
24,162
24,163
24,164
24,165
24,166
24,167
24,168
24,169
24,171
191,249
191,250
191,253
191,254
191,255
191,297
191,298
191,299
191,301
191,302
191,303
191,318
191,368
191,377
191,380
191,394
288,75
251,351
251,352
251,353
251,354
251,355
251,356
251,357
251,359
251,360
113,24
113,30
113,31
315,12
315,13
324,11
324,12
248,24
222,527
222,528
222,529
191,369
191,370
