class,line
8,1681
8,1682
15,374
15,378
15,379
15,380
15,382
15,387
15,420
21,679
34,1146
34,1147
34,1201
34,1257
34,1258
34,1260
34,1270
34,1576
34,1577
34,1656
34,1714
34,1738
34,1758
34,2222
34,2223
34,2225
34,1203
34,1659
34,1591
2,781
2,782
25,659
41,1006
41,1007
41,1008
40,639
40,640
40,641
40,642
40,643
40,645
40,646
40,648
40,649
40,650
40,655
40,656
40,657
40,659
40,663
40,664
40,665
40,666
40,667
40,668
40,671
40,675
40,676
40,677
40,689
40,694
40,695
40,696
40,697
40,698
40,699
40,700
40,701
40,706
40,707
40,708
40,712
40,713
40,714
40,715
40,717
40,718
40,719
40,720
40,721
40,723
40,725
40,726
40,730
40,731
40,732
40,737
40,912
40,913
40,915
40,916
40,917
40,918
40,921
40,923
40,925
40,967
40,969
40,971
40,972
40,973
40,974
40,975
40,977
40,980
40,981
40,982
40,988
40,989
40,994
40,999
40,1000
40,1005
40,1006
40,1007
40,1008
40,1009
40,1010
40,1012
40,1015
40,1016
40,1017
40,1020
40,1023
40,1043
40,1044
40,1045
40,1046
40,1047
40,1048
40,1052
40,1053
40,1057
40,1060
40,1077
40,1078
40,1079
40,1080
40,1081
40,1083
40,1084
40,1085
40,1092
40,1093
40,1094
40,1095
40,1096
40,1097
40,1098
40,1099
40,1100
40,1101
40,1102
40,1105
40,1106
40,1107
40,1109
40,1116
40,1117
2,310
