class,line
12,125
12,216
12,303
26,49
26,50
26,51
26,57
26,60
26,63
26,66
26,68
26,71
26,72
26,75
26,76
26,77
26,78
26,79
26,81
26,82
26,84
26,85
26,88
26,90
26,92
26,94
26,96
26,97
26,102
26,103
26,104
26,105
26,106
26,107
26,109
26,115
26,117
26,119
26,121
26,123
26,125
26,127
26,129
26,131
26,132
26,138
26,140
26,142
26,148
26,149
26,150
26,152
26,158
26,159
26,161
26,162
26,179
26,180
26,181
26,183
26,184
26,187
26,190
26,192
26,194
26,195
26,211
26,213
26,227
26,230
26,233
26,234
26,235
26,236
26,242
26,244
26,247
26,248
26,251
26,272
26,273
26,400
26,253
26,255
26,258
26,259
26,263
26,266
26,267
26,268
26,166
26,172
26,174
26,175
14,1161
14,1162
14,609
14,610
