class,line
12,113
12,206
12,291
23,49
23,50
23,51
23,52
23,53
23,54
23,55
23,56
23,62
23,65
23,68
23,70
23,73
23,74
23,75
23,76
23,77
23,79
23,80
23,83
23,85
23,86
23,87
23,89
23,90
23,92
23,94
23,95
23,96
23,99
23,100
23,101
23,104
23,105
23,106
23,108
23,110
23,111
23,112
23,115
23,116
23,117
23,118
23,121
23,123
23,124
23,125
23,126
23,127
23,129
23,133
23,134
23,135
23,137
23,139
23,140
23,143
23,145
23,147
23,148
23,149
23,152
23,153
23,154
23,156
23,157
23,158
23,240
23,242
23,244
23,246
23,247
23,251
23,253
23,254
23,258
23,260
23,262
23,263
23,265
23,267
23,268
23,271
23,274
23,275
23,278
23,284
23,286
23,288
23,290
23,291
23,294
23,297
23,330
23,71
