class,line
12,104
12,227
12,228
12,315
27,564
27,565
27,566
27,572
27,575
27,577
27,581
27,584
27,586
27,594
27,595
27,596
27,597
27,598
27,599
27,600
27,601
27,603
27,604
27,605
27,606
27,607
27,608
27,609
27,610
27,612
27,613
27,614
27,615
27,616
27,619
27,621
27,622
27,624
27,625
27,627
27,628
27,632
27,634
27,635
27,636
27,638
27,640
27,641
27,643
27,644
27,668
27,670
27,671
27,672
27,673
27,674
27,675
27,677
27,679
27,681
27,682
27,683
27,773
27,582
27,650
27,651
27,652
27,653
27,656
27,665
27,666
27,678
27,658
27,659
27,661
