workload,option,influence,kpi
jpeg-large,iosCreateImagesetFolders,0.016899682588882824,time
jpeg-large,bmp,0.002688385672490856,time
jpeg-large,gif,0.5955728392483816,time
jpeg-large,ios,-0.8241370712511731,time
jpeg-large,androidMipmapInsteadOfDrawable,0.0074378581194963515,time
jpeg-large,scaleIsHeightDp,0.007552600955457834,time
jpeg-large,web,-1.2829387026519468,time
jpeg-large,jpeg,0.01819598949465812,time
jpeg-large,floor,0.016335866819983027,time
jpeg-large,win,-0.611240110940775,time
jpeg-large,antiAliasing,0.08688561539275218,time
jpeg-large,skipUpscaling,0.008343585225647357,time
jpeg-large,androidIncludeLdpiTvdpi,0.551425838773012,time
jpeg-large,png,0.4860507103527269,time
jpeg-large,round,0.0009542044889463629,time
jpeg-large,threads,-1.1876816920645992,time
jpeg-large,compression,0.023473099967681238,time
jpeg-medium,iosCreateImagesetFolders,-0.01839951830403284,time
jpeg-medium,bmp,0.014567755846909836,time
jpeg-medium,gif,0.6525725267018547,time
jpeg-medium,ios,-0.8497202717110132,time
jpeg-medium,androidMipmapInsteadOfDrawable,0.0070772312763592,time
jpeg-medium,scaleIsHeightDp,0.006152131677845728,time
jpeg-medium,web,-1.319451261266964,time
jpeg-medium,jpeg,0.020208688619585326,time
jpeg-medium,floor,-0.05091155555180116,time
jpeg-medium,win,-0.618098609792683,time
jpeg-medium,antiAliasing,0.09211367110116662,time
jpeg-medium,skipUpscaling,0.007797285512386986,time
jpeg-medium,androidIncludeLdpiTvdpi,0.5376667833961517,time
jpeg-medium,png,0.5191168896502113,time
jpeg-medium,round,-0.0557880437006463,time
jpeg-medium,threads,-1.142376405526279,time
jpeg-medium,compression,0.01429316307057956,time
jpeg-small,iosCreateImagesetFolders,0.1578589495785381,time
jpeg-small,bmp,-0.013083129503328295,time
jpeg-small,gif,0.3009733475877886,time
jpeg-small,ios,-0.30259690682777923,time
jpeg-small,androidMipmapInsteadOfDrawable,0.030878250644777065,time
jpeg-small,scaleIsHeightDp,-0.0032180755975078803,time
jpeg-small,web,-0.776959702920332,time
jpeg-small,jpeg,-0.02175772248735114,time
jpeg-small,floor,0.5336059041578883,time
jpeg-small,win,-0.013817112711052432,time
jpeg-small,antiAliasing,0.16329195304461816,time
jpeg-small,skipUpscaling,-0.028476258749566302,time
jpeg-small,androidIncludeLdpiTvdpi,0.9455732644993005,time
jpeg-small,png,0.032266943012311575,time
jpeg-small,round,0.02952879076672727,time
jpeg-small,threads,-0.4375361022602898,time
jpeg-small,compression,-0.015073204833763731,time
png-large,iosCreateImagesetFolders,0.017888162313295666,time
png-large,bmp,-0.3232165800439163,time
png-large,gif,0.2800450866303956,time
png-large,ios,-0.8887799301034954,time
png-large,androidMipmapInsteadOfDrawable,-0.01248909458181419,time
png-large,scaleIsHeightDp,0.0014332718930273767,time
png-large,web,-1.3995280744347567,time
png-large,jpeg,-0.3222360805227007,time
png-large,floor,0.007505999928212842,time
png-large,win,-0.6590281226619228,time
png-large,antiAliasing,0.07664309877904857,time
png-large,skipUpscaling,0.005207732209598887,time
png-large,androidIncludeLdpiTvdpi,0.5431218719459526,time
png-large,png,-0.003718887567282773,time
png-large,round,-0.005603627384549119,time
png-large,threads,-1.1827382748849966,time
png-large,compression,0.013852421034957376,time
png-medium,iosCreateImagesetFolders,-0.0907483695051924,time
png-medium,bmp,-0.18864580114905083,time
png-medium,gif,0.3454353464487931,time
png-medium,ios,-0.8643214291734607,time
png-medium,androidMipmapInsteadOfDrawable,-0.0014605439169749802,time
png-medium,scaleIsHeightDp,-0.0032010318233619667,time
png-medium,web,-1.4777147064168443,time
png-medium,jpeg,-0.20683270349073507,time
png-medium,floor,-0.00010032054185417359,time
png-medium,win,-0.5495606670668441,time
