workload,option,influence,kpi
ambivert,LZP,0.07668046380262242,time
ambivert,ROLZX,0.4858692407825713,time
ambivert,RANK,0.0908555860641995,time
ambivert,TEXT,0.024933379715195332,time
ambivert,skip,-0.07391857228707199,time
ambivert,TPAQ,0.649104765849583,time
ambivert,BWTS,0.11028522565124582,time
ambivert,LZ,0.0395660646205173,time
ambivert,MTFT,-0.022017827300613867,time
ambivert,SRT,0.12219656487365806,time
ambivert,X86,0.044044208468378795,time
ambivert,checksum,-0.033666482667997565,time
ambivert,FPAQ,-0.016238288391319237,time
ambivert,RLT,-0.10664720096137491,time
ambivert,BWT,-0.015185581971183632,time
ambivert,TPAQX,1.581779789069031,time
ambivert,CM,0.10576020979896181,time
ambivert,ZRLT,0.03480499815800225,time
ambivert,Range,0.013087295386571197,time
ambivert,ROLZ,0.12029580540667031,time
ambivert,ANS1,0.13757305028162284,time
ambivert,Huffman,-0.19547887152926313,time
ambivert,jobs,-0.049311277357723865,time
ambivert,blocksize,-0.05768444875900715,time
artificl,LZP,0.08315671118930924,time
artificl,ROLZX,0.5081922410676429,time
artificl,RANK,0.02053561012915577,time
artificl,TEXT,0.09727217774800791,time
artificl,skip,0.08447296751859104,time
artificl,TPAQ,0.37472860737389013,time
artificl,BWTS,0.1963758771961822,time
artificl,LZ,0.15187570414567172,time
artificl,MTFT,-0.019807996814027836,time
artificl,SRT,0.11830136615581874,time
artificl,X86,0.07817067389230774,time
artificl,checksum,-0.0886665246003773,time
artificl,FPAQ,-0.10826256050697394,time
artificl,RLT,-0.12132681882456496,time
artificl,BWT,-0.01774116330254875,time
artificl,TPAQX,1.0204834211602143,time
artificl,CM,0.0651634223709555,time
artificl,ZRLT,0.054990577396257546,time
artificl,Range,-0.03850490219444928,time
artificl,ROLZ,0.2004576263711921,time
artificl,ANS1,0.1264810438388258,time
artificl,Huffman,-0.3636267823205171,time
artificl,jobs,0.19326583781127704,time
artificl,blocksize,-0.15560520396364075,time
deepfield,LZP,0.10590716210817255,time
deepfield,ROLZX,0.45326898714143765,time
deepfield,RANK,0.07837476787681122,time
deepfield,TEXT,0.03690346377911507,time
deepfield,skip,-0.36787030547790806,time
deepfield,TPAQ,0.4852564170122158,time
deepfield,BWTS,0.09184354455502024,time
deepfield,LZ,0.04649773716727932,time
deepfield,MTFT,-0.0695835022351459,time
deepfield,SRT,0.1242543936016637,time
deepfield,X86,0.05538338147537302,time
deepfield,checksum,-0.050660858100392586,time
deepfield,FPAQ,-0.025341109874463186,time
deepfield,RLT,-0.07530364528992087,time
deepfield,BWT,-0.06589050641920556,time
deepfield,TPAQX,1.4011139733747886,time
deepfield,CM,0.1248874628556823,time
deepfield,ZRLT,0.03342592898554069,time
deepfield,Range,0.049756049715471186,time
deepfield,ROLZ,0.08221620955373712,time
deepfield,ANS1,0.1330888642237712,time
deepfield,Huffman,-0.21511422273392755,time
deepfield,jobs,-0.0730398544654744,time
deepfield,blocksize,-0.32849215335365456,time
enwik8,LZP,0.08353340579371654,time
enwik8,ROLZX,0.42650285125581217,time
enwik8,RANK,0.03977173298798573,time
enwik8,TEXT,0.04379463935264962,time
enwik8,skip,0.027385727456056542,time
enwik8,TPAQ,0.4792989338957948,time
enwik8,BWTS,0.11174719916192088,time
enwik8,LZ,0.04855421983609434,time
enwik8,MTFT,-0.044991580569724396,time
enwik8,SRT,0.06822391884028872,time
enwik8,X86,0.049109010641410315,time
enwik8,checksum,-0.07195954991807442,time
enwik8,FPAQ,-0.04549431977800915,time
enwik8,RLT,-0.14451344670952027,time
enwik8,BWT,-0.07022466274355703,time
enwik8,TPAQX,1.2942472661313416,time
enwik8,CM,0.07701232193277115,time
enwik8,ZRLT,0.0462287451065944,time
enwik8,Range,0.012128106118152952,time
enwik8,ROLZ,0.08846187844906772,time
enwik8,ANS1,0.12865054437762438,time
enwik8,Huffman,-0.2396485742468104,time
enwik8,jobs,-0.015560932897605816,time
enwik8,blocksize,-0.33249965610593757,time
fannie_mae_500k,LZP,0.09373348669976365,time
fannie_mae_500k,ROLZX,0.3965945091384735,time
fannie_mae_500k,RANK,0.022871388193815175,time
fannie_mae_500k,TEXT,0.0497230911595355,time
fannie_mae_500k,skip,0.033484076410104785,time
fannie_mae_500k,TPAQ,0.37244938222801394,time
fannie_mae_500k,BWTS,0.10064580579983404,time
fannie_mae_500k,LZ,0.04246505942695566,time
fannie_mae_500k,MTFT,-0.06082921653021046,time
fannie_mae_500k,SRT,0.052771958516634174,time
fannie_mae_500k,X86,0.05228900231115881,time
fannie_mae_500k,checksum,-0.0929347073136675,time
fannie_mae_500k,FPAQ,-0.0670789036004248,time
fannie_mae_500k,RLT,-0.15201210388373804,time
fannie_mae_500k,BWT,-0.11950504424839181,time
fannie_mae_500k,TPAQX,1.1280803672767028,time
fannie_mae_500k,CM,0.054523698357064596,time
fannie_mae_500k,ZRLT,0.06205257831788398,time
fannie_mae_500k,Range,0.0016772754377558305,time
fannie_mae_500k,ROLZ,0.06507424465818312,time
fannie_mae_500k,ANS1,0.1155816489978493,time
